id_chamado,data_abertura,bairro,tipo,status,tempo_horas,nota_avaliacao
260100,2026-01-10,Centro,Poda de árvore,Fechado,263.4,3.0
260101,2026-01-10,Méier,Poda de árvore,Fechado,181.6,3.0
260102,2026-01-10,Santa Cruz,Buraco na via,Fechado,154.5,3.0
260103,2026-01-10,Campo Grande,Poda de árvore,Fechado,53.5,5.0
260104,2026-01-10,Tijuca,Remoção de entulho,Fechado,71.3,
260105,2026-01-10,Santa Cruz,Remoção de entulho,Fechado,32.1,
260106,2026-01-11,Ipanema,Iluminação Pública,Fechado,26.1,
260107,2026-01-11,Realengo,Estacionamento irregular,Fechado,2.0,
260108,2026-01-11,Campo Grande,Fiscalização de barulho,Aberto,,
260109,2026-01-11,Botafogo,Fiscalização de barulho,Fechado,10.7,2.0
260110,2026-01-11,Botafogo,Buraco na via,Fechado,129.7,3.0
260111,2026-01-11,Botafogo,Poda de árvore,Fechado,219.4,4.0
260112,2026-01-11,Botafogo,Iluminação Pública,Fechado,48.4,4.0
260113,2026-01-11,Santa Cruz,Poda de árvore,Aberto,,
260114,2026-01-12,Campo Grande,Iluminação Pública,Fechado,45.6,
260115,2026-01-12,Botafogo,Fiscalização de barulho,Fechado,2.9,3.0
260116,2026-01-12,Botafogo,Iluminação Pública,Fechado,59.2,3.0
260117,2026-01-12,Campo Grande,Poda de árvore,Fechado,,4.0
260118,2026-01-12,Tijuca,Iluminação Pública,Fechado,72.0,
260119,2026-01-12,Copacabana,Estacionamento irregular,Aberto,,
260120,2026-01-12,Realengo,Remoção de entulho,Fechado,46.2,3.0
260121,2026-01-12,Realengo,Iluminação Pública,Fechado,19.3,
260122,2026-01-12,Méier,Remoção de entulho,Fechado,28.2,
260123,2026-01-12,Botafogo,Iluminação Pública,Fechado,47.9,4.0
260124,2026-01-13,Tijuca,Buraco na via,Fechado,69.5,4.0
260125,2026-01-13,Madureira,Estacionamento irregular,Fechado,3.1,4.0
260126,2026-01-13,Santa Cruz,Fiscalização de barulho,Fechado,10.4,2.0
260127,2026-01-13,Copacabana,Poda de árvore,Aberto,,
260128,2026-01-13,Campo Grande,Buraco na via,Aberto,,
260129,2026-01-13,Santa Cruz,Buraco na via,Fechado,89.7,
260130,2026-01-13,Barra da Tijuca,Fiscalização de barulho,Fechado,2.8,3.0
260131,2026-01-13,Campo Grande,Remoção de entulho,Fechado,52.9,4.0
260132,2026-01-13,Santa Cruz,Fiscalização de barulho,Fechado,5.0,2.0
260133,2026-01-13,Tijuca,Iluminação Pública,Fechado,18.1,4.0
260134,2026-01-13,Botafogo,Estacionamento irregular,Fechado,4.5,4.0
260135,2026-01-13,Copacabana,Fiscalização de barulho,Fechado,3.3,2.0
260136,2026-01-13,Méier,Remoção de entulho,Fechado,96.0,4.0
260137,2026-01-13,Copacabana,Estacionamento irregular,Fechado,3.2,5.0
260138,2026-01-14,Realengo,Fiscalização de barulho,Aberto,,
260139,2026-01-14,Campo Grande,Remoção de entulho,Fechado,54.3,
260140,2026-01-14,Barra da Tijuca,Buraco na via,Aberto,,
260141,2026-01-14,Santa Cruz,Buraco na via,Fechado,114.9,4.0
260142,2026-01-14,Méier,Fiscalização de barulho,Fechado,4.6,2.0
260143,2026-01-14,Copacabana,Iluminação Pública,Fechado,74.6,4.0
260144,2026-01-14,Realengo,Iluminação Pública,Fechado,39.1,4.0
260145,2026-01-14,Madureira,Remoção de entulho,Fechado,73.2,4.0
260146,2026-01-14,Copacabana,Buraco na via,Fechado,122.6,4.0
260147,2026-01-14,Méier,Iluminação Pública,Fechado,69.2,
260148,2026-01-15,Barra da Tijuca,Fiscalização de barulho,Fechado,2.7,4.0
260149,2026-01-15,Santa Cruz,Iluminação Pública,Fechado,62.1,
260150,2026-01-15,Realengo,Buraco na via,Fechado,79.2,
260151,2026-01-15,Barra da Tijuca,Remoção de entulho,Fechado,38.5,5.0
260152,2026-01-15,Centro,Buraco na via,Aberto,,
260153,2026-01-15,Méier,Remoção de entulho,Fechado,66.8,4.0
260154,2026-01-15,Santa Cruz,Fiscalização de barulho,Fechado,14.4,
260155,2026-01-15,Santa Cruz,Estacionamento irregular,Fechado,3.8,4.0
260156,2026-01-15,Campo Grande,Remoção de entulho,Fechado,33.0,4.0
260157,2026-01-16,Méier,Iluminação Pública,Fechado,41.5,
260158,2026-01-16,Copacabana,Iluminação Pública,Fechado,29.4,5.0
260159,2026-01-16,Realengo,Fiscalização de barulho,Fechado,3.9,3.0
260160,2026-01-16,Campo Grande,Fiscalização de barulho,Fechado,1.1,
260161,2026-01-16,Madureira,Buraco na via,Aberto,,
260162,2026-01-16,Tijuca,Iluminação Pública,Fechado,60.2,5.0
260163,2026-01-16,Campo Grande,Poda de árvore,Aberto,,
260164,2026-01-16,Santa Cruz,Poda de árvore,Aberto,,
260165,2026-01-16,Campo Grande,Fiscalização de barulho,Fechado,7.4,
260166,2026-01-16,Realengo,Iluminação Pública,Fechado,26.6,
260167,2026-01-16,Centro,Estacionamento irregular,Fechado,3.4,4.0
260168,2026-01-16,Ipanema,Estacionamento irregular,Fechado,4.7,4.0
260169,2026-01-17,Ipanema,Remoção de entulho,Fechado,47.9,
260170,2026-01-17,Santa Cruz,Buraco na via,Fechado,77.6,
260171,2026-01-17,Botafogo,Poda de árvore,Fechado,116.6,3.0
260172,2026-01-17,Realengo,Poda de árvore,Fechado,239.0,
260173,2026-01-17,Campo Grande,Poda de árvore,Aberto,,
260174,2026-01-18,Madureira,Fiscalização de barulho,Fechado,2.0,
260175,2026-01-18,Campo Grande,Remoção de entulho,Fechado,139.2,4.0
260176,2026-01-18,Santa Cruz,Buraco na via,Fechado,132.6,3.0
260177,2026-01-18,Centro,Remoção de entulho,Fechado,69.2,3.0
260178,2026-01-18,Campo Grande,Estacionamento irregular,Fechado,1.7,5.0
260179,2026-01-18,Santa Cruz,Poda de árvore,Aberto,,
260180,2026-01-19,Realengo,Poda de árvore,Fechado,203.1,3.0
260181,2026-01-19,Tijuca,Buraco na via,Fechado,199.4,3.0
260182,2026-01-19,Madureira,Remoção de entulho,Aberto,,
260183,2026-01-19,Realengo,Buraco na via,Aberto,,
260184,2026-01-19,Santa Cruz,Buraco na via,Fechado,187.3,
260185,2026-01-19,Campo Grande,Estacionamento irregular,Aberto,,
260186,2026-01-19,Santa Cruz,Poda de árvore,Fechado,100.4,
260187,2026-01-19,Santa Cruz,Fiscalização de barulho,Fechado,1.3,4.0
260188,2026-01-19,Botafogo,Estacionamento irregular,Fechado,2.7,5.0
260189,2026-01-20,Santa Cruz,Poda de árvore,Fechado,244.1,3.0
260190,2026-01-20,Santa Cruz,Buraco na via,Fechado,61.2,
260191,2026-01-20,Copacabana,Fiscalização de barulho,Fechado,2.7,2.0
260192,2026-01-20,Barra da Tijuca,Iluminação Pública,Aberto,,
260193,2026-01-20,Centro,Remoção de entulho,Fechado,49.4,5.0
260194,2026-01-20,Campo Grande,Iluminação Pública,Fechado,37.0,5.0
260195,2026-01-20,Campo Grande,Buraco na via,Fechado,149.3,
260196,2026-01-20,Realengo,Remoção de entulho,Fechado,69.5,4.0
260197,2026-01-20,Barra da Tijuca,Iluminação Pública,Fechado,60.9,5.0
260198,2026-01-20,Santa Cruz,Fiscalização de barulho,Fechado,7.6,3.0
260199,2026-01-20,Campo Grande,Fiscalização de barulho,Fechado,9.8,2.0
260200,2026-01-20,Campo Grande,Buraco na via,Fechado,330.1,1.0
260201,2026-01-21,Santa Cruz,Estacionamento irregular,Fechado,4.2,5.0
260202,2026-01-21,Campo Grande,Iluminação Pública,Fechado,28.0,
260203,2026-01-21,Campo Grande,Fiscalização de barulho,Fechado,5.5,2.0
260204,2026-01-21,Tijuca,Buraco na via,Fechado,133.1,3.0
260205,2026-01-21,Santa Cruz,Iluminação Pública,Fechado,71.5,
260206,2026-01-21,Centro,Buraco na via,Fechado,226.5,3.0
260207,2026-01-21,Tijuca,Buraco na via,Fechado,137.9,
260208,2026-01-21,Campo Grande,Fiscalização de barulho,Fechado,5.3,3.0
260209,2026-01-21,Centro,Poda de árvore,Fechado,224.9,
260210,2026-01-22,Santa Cruz,Buraco na via,Fechado,148.9,3.0
260211,2026-01-22,Campo Grande,Iluminação Pública,Fechado,40.5,3.0
260212,2026-01-22,Barra da Tijuca,Iluminação Pública,Fechado,66.5,
260213,2026-01-22,Centro,Buraco na via,Fechado,90.1,
260214,2026-01-22,Centro,Fiscalização de barulho,Fechado,1.3,3.0
260215,2026-01-22,Campo Grande,Fiscalização de barulho,Fechado,,3.0
260216,2026-01-22,Campo Grande,Estacionamento irregular,Fechado,3.2,4.0
260217,2026-01-22,Botafogo,Buraco na via,Fechado,143.1,4.0
260218,2026-01-23,Madureira,Remoção de entulho,Fechado,76.1,
260219,2026-01-23,Centro,Fiscalização de barulho,Fechado,7.5,2.0
260220,2026-01-23,Campo Grande,Fiscalização de barulho,Fechado,3.8,2.0
260221,2026-01-23,Madureira,Remoção de entulho,Fechado,128.9,2.0
260222,2026-01-23,Méier,Estacionamento irregular,Fechado,4.0,4.0
260223,2026-01-23,Centro,Buraco na via,Fechado,218.0,
260224,2026-01-23,Tijuca,Fiscalização de barulho,Aberto,,
260225,2026-01-23,Botafogo,Iluminação Pública,Aberto,,
260226,2026-01-23,Madureira,Buraco na via,Fechado,73.2,
260227,2026-01-23,Realengo,Iluminação Pública,Aberto,,
260228,2026-01-23,Campo Grande,Iluminação Pública,Fechado,66.3,
260229,2026-01-23,Campo Grande,Fiscalização de barulho,Fechado,15.4,1.0
260230,2026-01-23,Madureira,Remoção de entulho,Fechado,36.6,5.0
260231,2026-01-23,Madureira,Estacionamento irregular,Fechado,4.2,
260232,2026-01-23,Barra da Tijuca,Fiscalização de barulho,Fechado,17.9,2.0
260233,2026-01-23,Campo Grande,Buraco na via,Fechado,84.5,2.0
260234,2026-01-24,Campo Grande,Iluminação Pública,Fechado,45.5,3.0
260235,2026-01-24,Centro,Poda de árvore,Fechado,184.2,5.0
260236,2026-01-24,Copacabana,Remoção de entulho,Fechado,103.6,4.0
260237,2026-01-24,Campo Grande,Estacionamento irregular,Fechado,3.8,
260238,2026-01-24,Centro,Iluminação Pública,Fechado,24.5,5.0
260239,2026-01-24,Copacabana,Fiscalização de barulho,Fechado,3.8,3.0
260240,2026-01-24,Méier,Buraco na via,Fechado,293.3,3.0
260241,2026-01-24,Méier,Fiscalização de barulho,Fechado,2.7,2.0
260242,2026-01-24,Madureira,Iluminação Pública,Fechado,85.3,
260243,2026-01-24,Centro,Buraco na via,Fechado,154.2,3.0
260244,2026-01-24,Realengo,Poda de árvore,Fechado,119.4,
260245,2026-01-24,Santa Cruz,Fiscalização de barulho,Fechado,20.3,2.0
260246,2026-01-24,Campo Grande,Poda de árvore,Fechado,314.4,3.0
260247,2026-01-25,Centro,Buraco na via,Fechado,181.0,2.0
260248,2026-01-25,Copacabana,Iluminação Pública,Fechado,65.5,
260249,2026-01-25,Copacabana,Iluminação Pública,Fechado,62.8,4.0
260250,2026-01-25,Centro,Fiscalização de barulho,Fechado,15.9,1.0
260251,2026-01-25,Méier,Poda de árvore,Fechado,,4.0
260252,2026-01-25,Barra da Tijuca,Iluminação Pública,Fechado,39.1,3.0
260253,2026-01-25,Barra da Tijuca,Iluminação Pública,Fechado,38.8,3.0
260254,2026-01-25,Santa Cruz,Buraco na via,Fechado,133.7,3.0
260255,2026-01-25,Realengo,Fiscalização de barulho,Fechado,9.4,2.0
260256,2026-01-25,Barra da Tijuca,Remoção de entulho,Fechado,52.1,5.0
260257,2026-01-25,Santa Cruz,Iluminação Pública,Aberto,,
260258,2026-01-26,Ipanema,Fiscalização de barulho,Fechado,4.3,
260259,2026-01-26,Copacabana,Estacionamento irregular,Fechado,7.4,
260260,2026-01-26,Barra da Tijuca,Estacionamento irregular,Fechado,1.6,
260261,2026-01-26,Méier,Estacionamento irregular,Fechado,,
260262,2026-01-26,Santa Cruz,Iluminação Pública,Fechado,43.5,
260263,2026-01-26,Madureira,Poda de árvore,Fechado,268.6,4.0
260264,2026-01-27,Copacabana,Remoção de entulho,Fechado,149.2,4.0
260265,2026-01-27,Tijuca,Remoção de entulho,Fechado,53.6,
260266,2026-01-27,Santa Cruz,Buraco na via,Fechado,187.8,3.0
260267,2026-01-27,Realengo,Estacionamento irregular,Fechado,,5.0
260268,2026-01-27,Méier,Remoção de entulho,Fechado,54.0,4.0
260269,2026-01-27,Realengo,Remoção de entulho,Fechado,160.6,2.0
260270,2026-01-28,Botafogo,Remoção de entulho,Fechado,112.4,3.0
260271,2026-01-28,Madureira,Buraco na via,Fechado,105.9,3.0
260272,2026-01-28,Barra da Tijuca,Buraco na via,Fechado,80.7,3.0
260273,2026-01-28,Santa Cruz,Fiscalização de barulho,Aberto,,
260274,2026-01-28,Campo Grande,Buraco na via,Fechado,65.2,
260275,2026-01-28,Campo Grande,Fiscalização de barulho,Fechado,6.2,1.0
260276,2026-01-28,Campo Grande,Buraco na via,Fechado,535.9,2.0
260277,2026-01-28,Santa Cruz,Buraco na via,Aberto,,
260278,2026-01-28,Botafogo,Iluminação Pública,Fechado,65.9,3.0
260279,2026-01-28,Copacabana,Remoção de entulho,Fechado,133.7,
260280,2026-01-28,Tijuca,Iluminação Pública,Fechado,36.6,3.0
260281,2026-01-28,Copacabana,Buraco na via,Aberto,,
260282,2026-01-28,Centro,Buraco na via,Fechado,66.8,4.0
260283,2026-01-28,Tijuca,Iluminação Pública,Aberto,,
260284,2026-01-28,Copacabana,Buraco na via,Fechado,183.2,3.0
260285,2026-01-28,Madureira,Iluminação Pública,Fechado,87.6,3.0
260286,2026-01-29,Campo Grande,Buraco na via,Fechado,62.5,4.0
260287,2026-01-29,Santa Cruz,Remoção de entulho,Aberto,,
260288,2026-01-29,Copacabana,Buraco na via,Fechado,72.8,4.0
260289,2026-01-29,Santa Cruz,Buraco na via,Fechado,117.2,
260290,2026-01-29,Santa Cruz,Fiscalização de barulho,Fechado,2.6,3.0
260291,2026-01-29,Campo Grande,Remoção de entulho,Fechado,148.1,
260292,2026-01-29,Campo Grande,Iluminação Pública,Fechado,41.5,
260293,2026-01-29,Tijuca,Fiscalização de barulho,Fechado,5.9,
260294,2026-01-29,Tijuca,Poda de árvore,Fechado,96.4,5.0
260295,2026-01-30,Centro,Iluminação Pública,Fechado,40.7,
260296,2026-01-30,Campo Grande,Buraco na via,Aberto,,
260297,2026-01-30,Campo Grande,Remoção de entulho,Fechado,119.9,4.0
260298,2026-01-30,Madureira,Iluminação Pública,Fechado,47.7,
260299,2026-01-30,Ipanema,Poda de árvore,Fechado,79.8,
260300,2026-01-30,Santa Cruz,Poda de árvore,Fechado,256.6,
260301,2026-01-30,Realengo,Poda de árvore,Aberto,,
260302,2026-01-30,Tijuca,Estacionamento irregular,Fechado,3.5,5.0
260303,2026-01-30,Tijuca,Buraco na via,Fechado,231.8,2.0
260304,2026-01-30,Santa Cruz,Remoção de entulho,Fechado,113.8,3.0
260305,2026-01-30,Copacabana,Fiscalização de barulho,Fechado,1.4,
260306,2026-01-30,Campo Grande,Buraco na via,Fechado,190.5,2.0
260307,2026-01-30,Realengo,Estacionamento irregular,Fechado,5.8,3.0
260308,2026-01-30,Santa Cruz,Iluminação Pública,Fechado,52.2,4.0
260309,2026-01-31,Copacabana,Remoção de entulho,Fechado,112.3,
260310,2026-01-31,Realengo,Fiscalização de barulho,Fechado,6.3,1.0
260311,2026-01-31,Tijuca,Estacionamento irregular,Fechado,7.8,3.0
260312,2026-01-31,Santa Cruz,Fiscalização de barulho,Fechado,4.1,
260313,2026-01-31,Campo Grande,Fiscalização de barulho,Fechado,6.6,
260314,2026-01-31,Santa Cruz,Iluminação Pública,Fechado,77.6,
260315,2026-01-31,Centro,Buraco na via,Fechado,188.0,4.0
260316,2026-02-01,Realengo,Buraco na via,Fechado,251.0,2.0
260317,2026-02-01,Campo Grande,Poda de árvore,Fechado,494.1,
260318,2026-02-01,Santa Cruz,Fiscalização de barulho,Fechado,5.5,1.0
260319,2026-02-01,Tijuca,Iluminação Pública,Fechado,32.4,5.0
260320,2026-02-01,Copacabana,Remoção de entulho,Fechado,152.3,
260321,2026-02-01,Méier,Fiscalização de barulho,Aberto,,
260322,2026-02-01,Centro,Buraco na via,Fechado,109.7,3.0
260323,2026-02-01,Barra da Tijuca,Estacionamento irregular,Aberto,,
260324,2026-02-01,Copacabana,Remoção de entulho,Fechado,160.6,
260325,2026-02-01,Copacabana,Remoção de entulho,Fechado,69.9,4.0
260326,2026-02-01,Centro,Buraco na via,Fechado,103.6,
260327,2026-02-02,Campo Grande,Remoção de entulho,Fechado,130.7,4.0
260328,2026-02-02,Ipanema,Fiscalização de barulho,Aberto,,
260329,2026-02-02,Santa Cruz,Estacionamento irregular,Fechado,6.0,4.0
260330,2026-02-02,Centro,Fiscalização de barulho,Fechado,14.3,2.0
260331,2026-02-02,Santa Cruz,Poda de árvore,Fechado,107.6,4.0
260332,2026-02-02,Copacabana,Iluminação Pública,Fechado,121.8,4.0
260333,2026-02-02,Ipanema,Buraco na via,Fechado,93.0,
260334,2026-02-02,Centro,Poda de árvore,Aberto,,
260335,2026-02-02,Tijuca,Buraco na via,Fechado,136.1,4.0
260336,2026-02-02,Tijuca,Remoção de entulho,Fechado,128.9,4.0
260337,2026-02-02,Copacabana,Buraco na via,Fechado,187.8,2.0
260338,2026-02-02,Campo Grande,Remoção de entulho,Fechado,69.2,3.0
260339,2026-02-02,Centro,Buraco na via,Fechado,221.7,
260340,2026-02-02,Copacabana,Estacionamento irregular,Fechado,5.8,5.0
260341,2026-02-02,Copacabana,Iluminação Pública,Fechado,42.9,
260342,2026-02-02,Barra da Tijuca,Iluminação Pública,Fechado,33.0,5.0
260343,2026-02-03,Realengo,Buraco na via,Fechado,275.2,2.0
260344,2026-02-03,Tijuca,Iluminação Pública,Fechado,45.9,4.0
260345,2026-02-03,Copacabana,Remoção de entulho,Fechado,78.9,3.0
260346,2026-02-03,Realengo,Fiscalização de barulho,Fechado,9.2,
260347,2026-02-03,Santa Cruz,Estacionamento irregular,Fechado,8.0,4.0
260348,2026-02-03,Santa Cruz,Iluminação Pública,Fechado,40.0,
260349,2026-02-03,Realengo,Iluminação Pública,Fechado,94.3,2.0
260350,2026-02-03,Tijuca,Remoção de entulho,Aberto,,
260351,2026-02-03,Realengo,Buraco na via,Fechado,101.0,
260352,2026-02-03,Copacabana,Estacionamento irregular,Aberto,,
260353,2026-02-03,Realengo,Estacionamento irregular,Fechado,1.1,5.0
260354,2026-02-03,Botafogo,Iluminação Pública,Fechado,18.9,
260355,2026-02-03,Copacabana,Iluminação Pública,Fechado,67.0,4.0
260356,2026-02-03,Campo Grande,Remoção de entulho,Aberto,,
260357,2026-02-03,Tijuca,Iluminação Pública,Fechado,55.4,3.0
260358,2026-02-03,Copacabana,Iluminação Pública,Fechado,40.3,3.0
260359,2026-02-04,Santa Cruz,Remoção de entulho,Fechado,223.4,2.0
260360,2026-02-04,Realengo,Remoção de entulho,Fechado,139.2,
260361,2026-02-04,Copacabana,Remoção de entulho,Fechado,56.0,5.0
260362,2026-02-04,Santa Cruz,Remoção de entulho,Fechado,113.9,3.0
260363,2026-02-04,Tijuca,Remoção de entulho,Aberto,,
260364,2026-02-04,Botafogo,Remoção de entulho,Fechado,59.2,4.0
260365,2026-02-04,Campo Grande,Buraco na via,Aberto,,
260366,2026-02-04,Botafogo,Iluminação Pública,Aberto,,
260367,2026-02-05,Tijuca,Poda de árvore,Fechado,227.8,4.0
260368,2026-02-05,Campo Grande,Iluminação Pública,Fechado,92.8,4.0
260369,2026-02-05,Campo Grande,Iluminação Pública,Fechado,35.9,4.0
260370,2026-02-05,Realengo,Iluminação Pública,Fechado,30.4,
260371,2026-02-05,Botafogo,Fiscalização de barulho,Fechado,,3.0
260372,2026-02-05,Santa Cruz,Buraco na via,Aberto,,
260373,2026-02-05,Campo Grande,Remoção de entulho,Fechado,80.9,3.0
260374,2026-02-05,Realengo,Remoção de entulho,Fechado,45.2,4.0
260375,2026-02-05,Barra da Tijuca,Remoção de entulho,Fechado,191.8,
260376,2026-02-06,Realengo,Iluminação Pública,Fechado,61.3,3.0
260377,2026-02-06,Santa Cruz,Estacionamento irregular,Fechado,9.8,3.0
260378,2026-02-06,Realengo,Poda de árvore,Fechado,124.5,
260379,2026-02-06,Campo Grande,Poda de árvore,Aberto,,
260380,2026-02-06,Centro,Fiscalização de barulho,Fechado,3.2,
260381,2026-02-06,Realengo,Iluminação Pública,Fechado,120.9,
260382,2026-02-06,Realengo,Fiscalização de barulho,Fechado,3.6,
